id,nama_stasiun,wilayah_operasi,kecamatan,zona,x,y,z,lat,long
,Gubug,DAOP 4 SEMARANG,Gubug,49 S / 49 M,463500 m E,9219500 m S,11 m,-7.0609534,110.6694955
,Karangjati,DAOP 4 SEMARANG,Karangrayung,49 S / 49 M,475610 m E,9215050 m S,23 m,-7.1012723,110.7791307
,Sedadi,DAOP 4 SEMARANG,Penawangan,49 S / 49 M,483300 m E,9210700 m S,29 m,-7.1406498,110.847562
,Ngrombo,DAOP 4 SEMARANG,Toroh,49 S / 49 M,489020 m E,9210190 m S,38 m,-7.1452773,110.9005584
,Gambringan,DAOP 4 SEMARANG,Toroh,49 S / 49 M,490630 m E,9210340 m S,40 m,-7.1439233,110.9151398
,Toroh,DAOP 4 SEMARANG,Toroh,49 S / 49 M,491330 m E,9210345 m S,40 m,-7.143879,110.921479
,Jambon,DAOP 4 SEMARANG,Pulokulon,49 S / 49 M,501120 m E,9209640 m S,42 m,-7.1502631,111.0101435
,Panunggalan,DAOP 4 SEMARANG,Pulokulon,49 S / 49 M,508700 m E,9209380 m S,47 m,-7.1526112,111.0606803
,Kradenan,DAOP 4 SEMARANG,Kradenan,49 S / 49 M,516220 m E,9209640 m S,52 m,-7.1502398,111.1468997
,Sulur,DAOP 4 SEMARANG,Gabus,49 S / 49 M,524595 m E,9206995 m S,76 m,-7.1741356,111.2227609
,Doplang,DAOP 4 SEMARANG,Jati,49 S / 49 M,531800 m E,9206010 m S,77 m,-7.1830095,111.2880229
,Randu Blatung,DAOP 4 SEMARANG,Randu blatung,49 S / 49 M,543950 m E,9204970 m S,52 m,-7.1923347,111.398076
,Wadu,DAOP 4 SEMARANG,Kedungtuban,49 S / 49 M,555255 m E,9204505 m S,42 m,-7.1964405,111.500473
,Kapuan,DAOP 4 SEMARANG,Cepu,49 S / 49 M,561200 m E,9205290 m S,34 m,-7.1892778,111.5543097
,Cepu,DAOP 4 SEMARANG,Cepu,49 S / 49 M,565230 m E,9209130 m S,28 m,-7.1544978,111.5907847
,Tanggung,DAOP 4 SEMARANG,Tanggungharjo,49 S / 49 M,456180 m E,9216130 m S,20 m,-7.0913858,110.6031885
,Kedungjati,DAOP 4 SEMARANG,,49 S / 49 M,459760 m E,9208150 m S,36 m,-7.1635973,110.6355496
,Padas,DAOP 4 SEMARANG,Kedungjati,49 S / 49 M,463780 m E,9206420 m S,42 m,-7.1792738,110.6719468
,Gedangan,DAOP 4 SEMARANG,Gedangan,49 S / 49 M,466815 m E,9206165 m S,66 m,-7.1815993,110.6994337
,Telawa,DAOP 4 SEMARANG,Karangrayung,49 S / 49 M,472600 m E,9205720 m S,63 m,-7.185656,110.7518276
,Jetis,DAOP 4 SEMARANG,,49 S / 49 M,477820 m E,9205760 m S,60 m,-7.185317,110.799107
,Karangsono,DAOP 4 SEMARANG,Karangrayung,49 S / 49 M,480760 m E,9204540 m S,48 m,-7.1963642,110.8257315
,Jambean,DAOP 4 SEMARANG,,49 S / 49 M,483010 m E,9203665 m S,36 m,-7.2042866,110.8461085
,Gundih,DAOP 4 SEMARANG,Geyer,49 S / 49 M,488970 m E,9202060 m S,54 m,-7.2188202,110.9000895
,Bedono,DAOP 4 SEMARANG,Jambu,49 S / 49 M,428590 m E,9192020 m S,711 m,-7.3091876,110.3530473
,Tuntang,DAOP 4 SEMARANG,Tuntang,49 S / 49 M,439740 m E,9197370 m S,464 m,-7.260928,110.454118
,Ambarawa,DAOP 4 SEMARANG,Ambarawa,49 S / 49 M,434260 m E,9196930 m S,474.4 m,-7.2648456,110.4044724
,Banjaran,DAOP 5 PURWOKERTO,Banjaran,49 S / 49 M,293870 m E,9232925 m S,19 m,-6.9359613,109.1343186
,Slawi,DAOP 5 PURWOKERTO,Slawi,49 S / 49 M,294150 m E,9227850 m S,38 m,-6.9818552,109.136671
,Prupuk,DAOP 5 PURWOKERTO,Margasari,49 S / 49 M,277200 m E,9212185 m S,36 m,-7.1228406,108.982691
,Linggapura,DAOP 5 PURWOKERTO,Tonjong,49 S / 49 M,280520 m E,9205330 m S,156 m,-7.1849428,109.0124709
,Bumiayu,DAOP 5 PURWOKERTO,Bumiayu,49 S / 49 M,280250 m E,9199530 m S,236.45 m,-7.2373665,109.0097978
,Kretek,DAOP 5 PURWOKERTO,Paguyangan,49 S / 49 M,282480 m E,9194200 m S,286 m,-7.2856401,109.0297762
,Patuguran,DAOP 5 PURWOKERTO,Paguyangan,49 S / 49 M,285585 m E,9189500 m S,329 m,-7.3282525,109.0577056
,Legok,DAOP 5 PURWOKERTO,Pekuncen,49 S / 49 M,288880 m E,9186490 m S,299 m,-7.3555931,109.0874259
,Karangsari,DAOP 5 PURWOKERTO,Leuwigoong,49 S / 49 M,292620 m E,9183525 m S,233 m,-7.3825427,109.1211817
,Karanggandul,DAOP 5 PURWOKERTO,Karanglewas,49 S / 49 M,299775 m E,9182900 m S,142 m,-7.3884614,109.1859589
,Purwokerto,DAOP 5 PURWOKERTO,Purwokerto Barat,49 S / 49 M,303760 m E,9179450 m S,75 m,-7.4197996,109.2219261
,Notog,DAOP 5 PURWOKERTO,Patikraja,49 S / 49 M,302845 m E,9172130 m S,25 m,-7.4859491,109.21337
,Kebasen,DAOP 5 PURWOKERTO,Kebasen,49 S / 49 M,301730 m E,9167230 m S,16 m,-7.5302104,109.230872
,Randegan,DAOP 5 PURWOKERTO,Sampang,49 S / 49 M,303610 m E,9162840 m S,11 m,-7.5699715,108.995775
,Rancakole,DAOP 5 PURWOKERTO,Langensari,49 S / 49 M,233680 m E,9184640 m S,21 m,-7.3699011,108.5875397
,Langen,DAOP 5 PURWOKERTO,Langensari,49 S / 49 M,239120 m E,9185750 m S,16 m,-7.3601318,108.6368422
,Cikawung,DAOP 5 PURWOKERTO,Majenang,49 S / 49 M,243560 m E,9184900 m S,15 m,-7.3680248,108.6769988
,Meluwung,DAOP 5 PURWOKERTO,Wanareja,49 S / 49 M,246070 m E,9182000 m S,16 m,-7.3943538,108.699588
,Cipari,DAOP 5 PURWOKERTO,Cipari,49 S / 49 M,252890 m E,9178950 m S,11 m,-7.4403144,108.7611086
,Sidareja,DAOP 5 PURWOKERTO,Sidareja,49 S / 49 M,258040 m E,9171890 m S,5 m,-7.486288,108.807518
,Gandrungmangu,DAOP 5 PURWOKERTO,Gandrungmangu,49 S / 49 M,263750 m E,9167260 m S,15 m,-7.528392,108.859028
,Sitinggil,DAOP 5 PURWOKERTO,,49 S / 49 M,266345 m E,9164810 m S,13 m,-7.5506536,108.8824262
,Kawunganten,DAOP 5 PURWOKERTO,Kawunganten,49 S / 49 M,270450 m E,9160390 m S,15 m,-7.5907879,108.9194206
,Jeruklegi,DAOP 5 PURWOKERTO,Jeruklegi,49 S / 49 M,281370 m E,9156870 m S,10 m,-7.6230722,109.018209
,Lebeng,DAOP 5 PURWOKERTO,Kesugihan,49 S / 49 M,287850 m E,9157090 m S,11 m,-7.621348,109.076933
,Pasarkliwon,DAOP 5 PURWOKERTO,Pasar Kliwon,49 S / 49 M,292620 m E,9157530 m S,9 m,-7.61758,109.120173
,Maos,DAOP 5 PURWOKERTO,Maos,49 S / 49 M,294750 m E,9157360 m S,8 m,-7.6191804,109.1394672
,Sikampuh,DAOP 5 PURWOKERTO,Kroya,49 S / 49 M,301160 m E,9156655 m S,8 m,-7.6258002,109.1975254
,Balapulang,DAOP 5 PURWOKERTO,Balapulang,49 S / 49 M,289730 m E,9220320 m S,90 m,-7.0497737,109.096399
,Margasari,DAOP 5 PURWOKERTO,Margasari,49 S / 49 M,281720 m E,9215600 m S,50 m,-7.0921439,109.0237318
,Kroya,DAOP 5 PURWOKERTO,Kroya,49 S / 49 M,307350 m E,9156190 m S,11 m,-7.6302345,109.2536023
,Kemranjen,DAOP 5 PURWOKERTO,Kemranjen,49 S / 49 M,314110 m E,9157180 m S,7 m,-7.6215263,109.3148992
,Sumpiuh,DAOP 5 PURWOKERTO,Sumpiuh,49 S / 49 M,319210 m E,9157900 m S,17 m,-7.6151935,109.3611426
,Tambak,DAOP 5 PURWOKERTO,Tambak,49 S / 49 M,324450 m E,9158160 m S,19 m,-7.6130196,109.4086391
,Ijo,DAOP 5 PURWOKERTO,Rowokele,49 S / 49 M,328680 m E,9157920 m S,25 m,-7.6153288,109.4469665
,Gombong,DAOP 5 PURWOKERTO,Gombong,49 S / 49 M,333590 m E,9158460 m S,18 m,-7.61066,109.507796
,Karanganyar,DAOP 5 PURWOKERTO,Karanganyar,49 S / 49 M,342640 m E,9155990 m S,14 m,-7.6332167,109.5734296
,Sruweng,DAOP 5 PURWOKERTO,Sruweng,49 S / 49 M,345910 m E,9153560 m S,13 m,-7.655288,109.6029967
,Soka,DAOP 5 PURWOKERTO,Pejagoan,49 S / 49 M,349950 m E,9150935 m S,22 m,-7.6791433,109.6395414
,Kebumen,DAOP 5 PURWOKERTO,Kebumen,49 S / 49 M,352450 m E,9150660 m S,21 m,-7.681701,109.662196
,Wonosari,DAOP 5 PURWOKERTO,Kebumen,49 S / 49 M,356770 m E,9148940 m S,15 m,-7.6973761,109.7013104
,Kutowinangun,DAOP 5 PURWOKERTO,Kutowinangun,49 S / 49 M,360420 m E,9146800 m S,13 m,-7.716828,109.7343424
,Prembun,DAOP 5 PURWOKERTO,Prembun,49 S / 49 M,367450 m E,9148000 m S,9 m,-7.724247,109.798057
,Butuh,DAOP 5 PURWOKERTO,Cibatu,49 S / 49 M,374120 m E,9146005 m S,10 m,-7.7243675,109.8585317
,Kutoarjo,DAOP 5 PURWOKERTO,Kutoarjo,49 S / 49 M,379490 m E,9145840 m S,16 m,-7.725987,109.9072163
,Kesugihan,DAOP 5 PURWOKERTO,Kesugihan,49 S / 49 M,292790 m E,9157450 m S,9 m,-7.61829,109.0756449
,Karangkandri,DAOP 5 PURWOKERTO,Kahuripan,49 S / 49 M,287730 m E,9152120 m S,8 m,-7.666275,109.042482
,Gumilir,DAOP 5 PURWOKERTO,Cilacap Utara,49 S / 49 M,284080 m E,9150020 m S,7 m,-7.685111,109.0070803
,Cilacap,DAOP 5 PURWOKERTO,Cilacap Selatan,49 S / 49 M,280200 m E,9144350 m S,8 m,-7.7362066,109.0234496
,Karangtalun,DAOP 5 PURWOKERTO,Cilacap Utara,49 S / 49 M,281980 m E,9149990 m S,11 m,-7.6852948,109.0234496
,Purworejo,DAOP 5 PURWOKERTO,Purworejo,49 S / 49 M,390950 m E,9147785 m S,63 m,-7.708649,110.0111653
,Jenar,DAOP 6 YOGYAKARTA,Purwodadi,49 S / 49 M,389890 m E,9137380 m S,18 m,-7.8027324,110.0013326
,Wojo,DAOP 6 YOGYAKARTA,Bagelen,49 S / 49 M,394220 m E,9130840 m S,14 m,-7.8619733,110.0404653
,Wates,DAOP 6 YOGYAKARTA,Wates,49 S / 49 M,407165 m E,9131135 m S,18 m,-7.8595569,110.157886
,Sentolo,DAOP 6 YOGYAKARTA,Sentolo,49 S / 49 M,414020 m E,9134055 m S,54 m,-7.8332682,110.2201134
,Rewulu,DAOP 6 YOGYAKARTA,Sedayu,49 S / 49 M,421080 m E,9138190 m S,88 m,-7.795979,110.2842117
,Patukan,DAOP 6 YOGYAKARTA,Gamping,49 S / 49 M,425620 m E,9138760 m S,88 m,-7.790891,110.3253948
,Yogyakarta,DAOP 6 YOGYAKARTA,Jetis,49 S / 49 M,429810 m E,9138940 m S,113 m,-7.7893216,110.3633977
,Goprak,DAOP 6 YOGYAKARTA,Geyer,49 S / 49 M,488660 m E,9196075 m S,74 m,-7.272959,110.8972693
,Sumberlawang,DAOP 6 YOGYAKARTA,Sumber Lawang,49 S / 49 M,484970 m E,9190010 m S,126 m,-7.3278131,110.8638245
,Salem,DAOP 6 YOGYAKARTA,Gemolong,49 S / 49 M,480935 m E,9182520 m S,146 m,-7.3955534,110.8272403
,Kalioso,DAOP 6 YOGYAKARTA,Gondang Rejo,49 S / 49 M,478500 m E,9174710 m S,117 m,-7.4661916,110.8051442
,Solo balapan,DAOP 6 YOGYAKARTA,Banjarsari,49 S / 49 M,480300 m E,9164860 m S,93 m,-7.5571079,110.8214205
,Purwosari,DAOP 6 YOGYAKARTA,Laweyan,49 S / 49 M,477550 m E,9164155 m S,98 m,-7.5616651,110.7964899
,Gawok,DAOP 6 YOGYAKARTA,Gatak,49 S / 49 M,471800 m E,9161090 m S,118 m,-7.5893626,110.7443499
,Delanggu,DAOP 6 YOGYAKARTA,Wonosari,49 S / 49 M,467630 m E,9157455 m S,133 m,-7.6222195,110.7065242
,Ceper,DAOP 6 YOGYAKARTA,Ceper,49 S / 49 M,464130 m E,9152290 m S,133 m,-7.6689171,110.6747572
,Klaten,DAOP 6 YOGYAKARTA,Klaten Tengah,49 S / 49 M,456210 m E,9147480 m S,151 m,-7.7123655,110.6029051
,Srowot,DAOP 6 YOGYAKARTA,Jogonalan,49 S / 49 M,450280 m E,9144265 m S,152 m,-7.7413932,110.5491011
,Brambanan,DAOP 6 YOGYAKARTA,Prambanan,49 S / 49 M,444920 m E,9142580 m S,146 m,-7.7565804,110.5004758
,Kalasan,DAOP 6 YOGYAKARTA,Kalasan,49 S / 49 M,441020 m E,9140575 m S,126 m,-7.7746732,110.4850845
,Maguwo,DAOP 6 YOGYAKARTA,Depok,49 S / 49 M,437900 m E,9139435 m S,118 m,-7.7849481,110.436775
,Lempuyangan,DAOP 6 YOGYAKARTA,Gondokusuman,49 S / 49 M,431130 m E,9138835 m S,114 m,-7.7902892,110.3753678
,Kedungbanteng,DAOP 6 YOGYAKARTA,Gondang,49 S / 49 M,511925 m E,9181455 m S,85 m,-7.4052053,111.1171241
,Kebonromo,DAOP 6 YOGYAKARTA,Ngrampal,49 S / 49 M,507055 m E,9179915 m S,86 m,-7.4191466,111.0639332
,Sragen,DAOP 6 YOGYAKARTA,Sragen,49 S / 49 M,501965 m E,9178790 m S,84 m,-7.4293274,111.0178075
,Masaran,DAOP 6 YOGYAKARTA,Masaran,49 S / 49 M,494220 m E,9174510 m S,93 m,-7.4680406,110.9476152
,Kemiri,DAOP 6 YOGYAKARTA,Jaten,49 S / 49 M,489135 m E,9167205 m S,98 m,-7.534112,110.9015144
,Palur,DAOP 6 YOGYAKARTA,Jebres,49 S / 49 M,486275 m E,9163440 m S,93 m,-7.5681625,110.8755803
,Solo jebres,DAOP 6 YOGYAKARTA,Jebres,49 S / 49 M,482290 m E,9164100 m S,97 m,-7.5621805,110.8394578
,Solo kota,DAOP 6 YOGYAKARTA,Jebres,49 S / 49 M,481950 m E,9162610 m S,97 m,-7.5756575,110.8363706
,Sukoharjo,DAOP 6 YOGYAKARTA,Bendosari,49 S / 49 M,482715 m E,9151095 m S,98 m,-7.679821,110.8432677
,Pesanggrahan,DAOP 6 YOGYAKARTA,Nguter,49 S / 49 M,486725 m E,9144205 m S,105 m,-7.7421573,110.8796108
,Wonogiri,DAOP 6 YOGYAKARTA,Wonogiri,49 S / 49 M,491380 m E,9136040 m S,144 m,-7.8160248,110.9218127
,Minggiran,DAOP 6 YOGYAKARTA,Papar,49 S / 49 M,616620 m E,9145610 m S,56 m,-7.7281559,112.0575185
,Papar,DAOP 6 YOGYAKARTA,Papar,49 S / 49 M,619060 m E,9148975 m S,52 m,-7.6976673,112.0795648
,Purwosari,DAOP 6 YOGYAKARTA,Purwosari,49 S / 49 M,621335 m E,9154525 m S,59 m,-7.6474206,112.1000616
,Bendosendung,DAOP 6 YOGYAKARTA,Ponggok,49 S / 49 M,623150 m E,9105550 m S,153 m,-8.0903024,112.1177006
,Curahmalang,DAOP 7 MADIUN,Sumobito,49 S / 49 M,651200 m E,9169965 m S,25 m,-7.5070196,112.370338
,Sumobito,DAOP 7 MADIUN,Sumobito,49 S / 49 M,647765 m E,9168590 m S,28 m,-7.5195501,112.3392503
,Peterongan,DAOP 7 MADIUN,Peterongan,49 S / 49 M,641130 m E,9166140 m S,33 m,-7.5418861,112.2791902
,Jombang,DAOP 7 MADIUN,Jombang,49 S / 49 M,636080 m E,9164370 m S,43 m,-7.5580247,112.2334702
,Sembung,DAOP 7 MADIUN,Perak,49 S / 49 M,628760 m E,9161660 m S,47 m,-7.582716,112.1671951
,Kertosono,DAOP 7 MADIUN,Kertosono,49 S / 49 M,621420 m E,9160645 m S,43 m,-7.5920691,112.1006908
,Baron,DAOP 7 MADIUN,Baron,49 S / 49 M,614650 m E,9159490 m S,49 m,-7.6026663,112.0393519
,Sukomoro,DAOP 7 MADIUN,Sukomoro,49 S / 49 M,603950 m E,9159520 m S,50 m,-7.6026164,111.9423606
,Nganjuk,DAOP 7 MADIUN,Nganjuk,49 S / 49 M,599580 m E,9159790 m S,56 m,-7.6002586,111.9027426
,Bagor,DAOP 7 MADIUN,Bagor,49 S / 49 M,594125 m E,9162940 m S,58 m,-7.5718677,111.853238
,Wilangan,DAOP 7 MADIUN,Wilangan,49 S / 49 M,588665 m E,9164130 m S,86 m,-7.5611984,111.8037269
,Saradan,DAOP 7 MADIUN,Saradan,49 S / 49 M,580770 m E,9165640 m S,107 m,-7.5476664,111.7321418
,Caruban,DAOP 7 MADIUN,Mejayan,49 S / 49 M,572360 m E,9165290 m S,74 m,-7.5509533,111.6559175
,Babadan,DAOP 7 MADIUN,Balerejo,49 S / 49 M,565040 m E,9161325 m S,63 m,-7.5869123,111.5896156
,Madiun,DAOP 7 MADIUN,Mangunharjo,49 S / 49 M,557835 m E,9157800 m S,63 m,-7.6188808,111.4514385
,Barat,DAOP 7 MADIUN,Barat,49 S / 49 M,549800 m E,9164010 m S,72 m,-7.5627906,111.4190129
,Geneng,DAOP 7 MADIUN,Geneng,49 S / 49 M,546230 m E,9171170 m S,53 m,-7.4980571,111.4190129
,Paron,DAOP 7 MADIUN,Paron,49 S / 49 M,542700 m E,9177355 m S,58 m,-7.4421395,111.3869695
,Kedunggalar,DAOP 7 MADIUN,Kedunggalar,49 S / 49 M,533835 m E,9180000 m S,75 m,-7.4182766,111.3066146
,Walikukun,DAOP 7 MADIUN,Widodaren,49 S / 49 M,624775 m E,9182120 m S,74 m,-7.3991487,111.2245032
,Talun,DAOP 7 MADIUN,Talun,49 S / 49 M,641980 m E,9105360 m S,252 m,-8.0915173,112.2885782
,Garum,DAOP 7 MADIUN,Garum,49 S / 49 M,634090 m E,9107375 m S,248 m,-8.0735143,112.2169272
,Gebang,DAOP 7 MADIUN,,49 S / 49 M,629830 m E,9104440 m S,181 m,-8.1001704,112.1783485
,Blitar,DAOP 7 MADIUN,Kepanjenkidul,49 S / 49 M,628110 m E,9104325 m S,167 m,-8.1012552,112.1627428
,Rejotangan,DAOP 7 MADIUN,Rejotangan,49 S / 49 M,619120 m E,9102165 m S,116 m,-8.1210143,112.0812109
,Ngunut,DAOP 7 MADIUN,Ngunut,49 S / 49 M,611505 m E,9104185 m S,104 m,-8.102923,112.0120541
,Sumbergempol,DAOP 7 MADIUN,Sumbergempol,49 S / 49 M,604090 m E,9106470 m S,92 m,-8.0824183,111.9447116
,Tulungagung,DAOP 7 MADIUN,Tulungagung,49 S / 49 M,599665 m E,9108635 m S,85 m,-8.062928,111.9045107
,Ngujang,DAOP 7 MADIUN,Ngantru,49 S / 49 M,602160 m E,9114425 m S,87 m,-8.0105107,111.9270332
,Kras,DAOP 7 MADIUN,Kras,49 S / 49 M,605845 m E,9121245 m S,75 m,-7.9487521,111.9603249
,Ngadiluwih,DAOP 7 MADIUN,Ngadiluwih,49 S / 49 M,608900 m E,9126800 m S,78 m,-7.8984464,111.9879202
,Kediri,DAOP 7 MADIUN,Kediri,49 S / 49 M,611955 m E,9135770 m S,68 m,-7.8172537,112.0154345
,Susuhan,DAOP 7 MADIUN,Gampengrejo,49 S / 49 M,613135 m E,9140860 m S,60 m,-7.7711929,112.0260238
,Tobo,DAOP 8 SURABAYA,Padangan,49 S / 49 M,572225 m E,9207155 m S,25 m,-7.1722767,111.6541387
,Kalitidu,DAOP 8 SURABAYA,Kalitidu,49 S / 49 M,584730 m E,9211620 m S,24 m,-7.1317151,111.7673221
,Bojonegoro,DAOP 8 SURABAYA,Sukorejo,49 S / 49 M,597900 m E,9207985 m S,15 m,-7.1643796,111.8866451
,Kapas,DAOP 8 SURABAYA,Kapas,49 S / 49 M,603045 m E,9204120 m S,20 m,-7.1992451,111.9333087
,Sumberejo,DAOP 8 SURABAYA,Sumberejo,49 S / 49 M,610580 m E,9206495 m S,16 m,-7.1776202,112.0015014
,Sroyo,DAOP 8 SURABAYA,Kanor,49 S / 49 M,615280 m E,9208010 m S,14 m,-7.1638231,112.0440325
,Bowerno,DAOP 8 SURABAYA,Baureno,49 S / 49 M,621450 m E,9211620 m S,21 m,-7.1310433,112.0998261
,Babat,DAOP 8 SURABAYA,Babat,49 S / 49 M,629065 m E,9214350 m S,7 m,-7.1081838,112.168714
,Gembong,DAOP 8 SURABAYA,Babat,49 S / 49 M,634975 m E,9214775 m S,6 m,-7.1022022,112.2222122
,Pucuk,DAOP 8 SURABAYA,Pucuk,49 S / 49 M,640245 m E,9215250 m S,6 m,-7.0977782,112.269913
,Sumlaran,DAOP 8 SURABAYA,Sukodadi,49 S / 49 M,646000 m E,9215680 m S,3 m,-7.093744,112.3220039
,Surabayan,DAOP 8 SURABAYA,Sukodadi,49 S / 49 M,649685 m E,9214980 m S,7 m,-7.099978,112.3564737
,Kruwul,DAOP 8 SURABAYA,Turi,49 S / 49 M,651290 m E,9214655 m S,7 m,-7.1028748,112.3699222
,Lamongan,DAOP 8 SURABAYA,Lamongan,49 S / 49 M,658835 m E,9213560 m S,2 m,-7.1126259,112.4201519
,Pandanan,DAOP 8 SURABAYA,Lamongan,49 S / 49 M,663475 m E,9211475 m S,3 m,-7.1312921,112.4803247
,Duduk,DAOP 8 SURABAYA,Duduk Sampeyan,49 S / 49 M,687880 m E,9208855 m S,2 m,-7.1548544,112.5202824
,Cerme,DAOP 8 SURABAYA,Cerme,49 S / 49 M,673420 m E,9201140 m S,6 m,-7.2244488,112.5706784
,Benowo,DAOP 8 SURABAYA,Pakal,49 S / 49 M,678330 m E,9200060 m S,3 m,-7.2340591,112.6151714
,Kandangan,DAOP 8 SURABAYA,Tandes,49 S / 49 M,683075 m E,9198140 m S,2 m,-7.2512655,112.6581992
,Tandes,DAOP 8 SURABAYA,Tandes,49 S / 49 M,686250 m E,9197270 m S,2 m,-7.2590262,112.6869776
,Surabaya Pasarturi,DAOP 8 SURABAYA,Bubutan,49 S / 49 M,691130 m E,9198425 m S,1 m,-7.2484168,112.7311252
,Gresik,DAOP 8 SURABAYA,Gresik,49 S / 49 M,683110 m E,9209025 m S,2 m,-7.1528414,112.6581584
,Gapuro,DAOP 8 SURABAYA,,49 S / 49 M,682735 m E,9207135 m S,21 m,-7.1699432,112.6548252
,Indro,DAOP 8 SURABAYA,Kebomas,49 S / 49 M,683785 m E,9206370 m S,8 m,-7.176826,112.6643563
,Karangkering,DAOP 8 SURABAYA,Kebomas,49 S / 49 M,683345 m E,9205025 m S,6 m,-7.189002,112.6604169
,Kalitangi,DAOP 8 SURABAYA,,49 S / 49 M,682375 m E,9204740 m S,5 m,-7.1916108,112.6516442
,Rumah,DAOP 8 SURABAYA,,49 S / 49 M,681965 m E,9203855 m S,2 m,-7.1996264,112.647961
,Sidotopo,DAOP 8 SURABAYA,Simokerto,49 S / 49 M,693820 m E,9199755 m S,2.5 m,-7.2362979,112.7554351
,Benteng,DAOP 8 SURABAYA,Semampir,49 S / 49 M,692550 m E,9201425 m S,4 m,-7.2212425,112.7438784
,Kalimas,DAOP 8 SURABAYA,Pabean cantikan,49 S / 49 M,691620 m E,9201620 m S,2 m,-7.2195115,112.7354515
,Surabaya Kota,DAOP 8 SURABAYA,Pabean cantikan,49 S / 49 M,692290 m E,9199020 m S,4 m,-7.2429987,112.7416077
,Surabaya Gubeng,DAOP 8 SURABAYA,Gubeng,49 S / 49 M,693430 m E,9196500 m S,5 m,-7.265742,112.7520178
,Ngagel,DAOP 8 SURABAYA,Gubeng,49 S / 49 M,692950 m E,9193935 m S,5 m,-7.2889055,112.7477613
,Sepanjang,DAOP 8 SURABAYA,Taman,49 S / 49 M,687400 m E,9187520 m S,9 m,-7.3471454,112.6977234
,Kumendung,DAOP 8 SURABAYA,,49 S / 49 M,682430 m E,9184965 m S,10 m,-7.3704159,112.6527968
,Boharan,DAOP 8 SURABAYA,Krian,49 S / 49 M,678770 m E,9183035 m S,10 m,-7.3879885,112.6197102
,Krian,DAOP 8 SURABAYA,Krian,49 S / 49 M,675040 m E,9180605 m S,12 m,-7.4100827,112.5860027
,Kedinding,DAOP 8 SURABAYA,Tarik,49 S / 49 M,671355 m E,9177635 m S,13 m,-7.4370566,112.5527163
,Tarik,DAOP 8 SURABAYA,Tarik,49 S / 49 M,667600 m E,9175180 m S,16 m,-7.4593739,112.5187755
,Bangsal,DAOP 8 SURABAYA,Bangsal,49 S / 49 M,663740 m E,9174100 m S,22 m,-7.4692589,112.4838375
,Mojokerto,DAOP 8 SURABAYA,Kranggan,49 S / 49 M,658245 m E,9173760 m S,22 m,-7.472498,112.4340618
,Wonokromo,DAOP 8 SURABAYA,Wonokromo,49 S / 49 M,691990 m E,9182495 m S,7 m,-7.302004,112.7391185
,Margorejo,DAOP 8 SURABAYA,Wonocolo,49 S / 49 M,691485 m E,9191150 m S,4 m,-7.3141826,112.7345924
,Jemursari,DAOP 8 SURABAYA,Wonocolo,49 S / 49 M,691130 m E,9189510 m S,4 m,-7.3290234,112.7314348
,Kertomenanggal,DAOP 8 SURABAYA,Gayungan,49 S / 49 M,690920 m E,9188255 m S,5 m,-7.340378,112.7295788
,Waru,DAOP 8 SURABAYA,Waru,49 S / 49 M,690880 m E,9186895 m S,5 m,-7.3526781,112.7292621
,Sawotratap,DAOP 8 SURABAYA,Gedangan,49 S / 49 M,690874 m E,9185143 m S,3 m,-7.3685173,112.7292691
,Gedangan,DAOP 8 SURABAYA,Gedangan,49 S / 49 M,690775 m E,9182875 m S,4 m,-7.3890273,112.7284521
,Banjarantren,DAOP 8 SURABAYA,Buduran,49 S / 49 M,690510 m E,9180365 m S,4 m,-7.4117312,112.7261401
,Buduran,DAOP 8 SURABAYA,Buduran,49 S / 49 M,690150 m E,9178590 m S,2 m,-7.4277928,112.7229418
,Pagerwojo,DAOP 8 SURABAYA,Sidoarjo,49 S / 49 M,689290 m E,9177010 m S,3 m,-7.4421089,112.7152072
,Sidoarjo,DAOP 8 SURABAYA,Sidoarjo,49 S / 49 M,689020 m E,9175370 m S,4 m,-7.4569468,112.712819
,Tanggulangin,DAOP 8 SURABAYA,Tanggulangin,49 S / 49 M,688490 m E,9169850 m S,6 m,-7.5068757,112.708212
,Porong,DAOP 8 SURABAYA,Porong,49 S / 49 M,687755 m E,9163365 m S,6 m,-7.538412,112.7016758
,Gunungsari,DAOP 8 SURABAYA,Beji,49 S / 49 M,690260 m E,9161210 m S,12 m,-7.5849326,112.7245574
,Bangil,DAOP 8 SURABAYA,Bangil,49 S / 49 M,696185 m E,9159635 m S,9 m,-7.5989566,112.778304
,Wonokerto,DAOP 8 SURABAYA,Sukorejo,49 S / 49 M,693575 m E,9152655 m S,90 m,-7.6621621,112.7549108
,Sukorejo,DAOP 8 SURABAYA,Sukorejo,49 S / 49 M,690080 m E,9146330 m S,239 m,-7.7194779,112.7234666
,Sengon,DAOP 8 SURABAYA,Purwosari,49 S / 49 M,690170 m E,9142390 m S,312 m,-7.7550983,112.7244271
,Lawang,DAOP 8 SURABAYA,Lawang,49 S / 49 M,687205 m E,9133375 m S,491 m,-7.8367168,112.6978778
,Singosari,DAOP 8 SURABAYA,Singosari,49 S / 49 M,683675 m E,9126720 m S,487 m,-7.8970175,112.6661116
,Blimbing,DAOP 8 SURABAYA,Blimbing,49 S / 49 M,681320 m E,9121970 m S,460 m,-7.9400508,112.6449259
